"z","P[Z<z]","P[Z>z]","P[|Z|<z]","P[|Z|>z]"
-1.29,0.0985,0.9015,0,1
-1.28,0.1003,0.8997,0,1
-1.27,0.102,0.898,0,1
-1.26,0.1038,0.8962,0,1
-1.25,0.1056,0.8944,0,1
-1.24,0.1075,0.8925,0,1
-1.23,0.1093,0.8907,0,1
-1.22,0.1112,0.8888,0,1
-1.21,0.1131,0.8869,0,1
-1.2,0.1151,0.8849,0,1
-1.19,0.117,0.883,0,1
-1.18,0.119,0.881,0,1
-1.17,0.121,0.879,0,1
-1.16,0.123,0.877,0,1
